# Data on narural occurring isotopes
#
# Format:
#
# Z	name	number_of_isotopes
#		isotope_name	pdg_code	A	natural_abundance(%)
#       	...             ...             ...     ...
#
1	H	2	
	1H	1000010010	1.007825035	99.9885
	2H	1000010020	2.014101779	 0.0115
2	He	2
	3He	1000020030	3.01602931	 0.000137
	4He	1000020040	4.00260324	99.999863
3	Li	2
	6Li	1000030060	6.0151214	 7.59
	7Li	1000030070	7.016003	92.41
4	Be	1
	9Be	1000040090	9.0121822	100
5	B	2
	10B	1000050100	10.0129369	19.9
	11B	1000050110	11.0093054	80.1
6	C	2
	12C	1000060120	12		98.93
	13C	1000060130	13.003354826	1.07
7	N	2
	14N	1000070140	14.003074002	99.632
	15N	1000070150	15.00010897	0.368
8	O	3
	16O	1000080160	15.99491463	99.757
	17O	1000080170	16.9991312	0.038
	18O	1000080180	17.9991603	0.205
9	F	1
	19F	1000090190	18.99840322	100
10	Ne	3
	20Ne	1000100200	19.9924356	90.48
	21Ne	1000100210	20.9938428	0.27
	22Ne	1000100220	21.9913831	9.25
11	Na	1
	23Na	1000110230	22.9897677	100
12	Mg	3
	24Mg	1000120240	23.9850423	78.99
	25Mg	1000120250	24.9858374	10
	26Mg	1000120260	25.9825937	11.01
13	Al	1
	27Al	1000130270	26.9815386	100
14	Si	3
	28Si	1000140280	27.9769271	92.2297
	29Si	1000140290	28.9764949	4.6832
	30Si	1000140300	29.9737707	3.0872
15	P	1
	31P	1000150310	30.973762	100
16	S	4
	32S	1000160320	31.9720707	94.93
	33S	1000160330	32.97145843	0.76
	34S	1000160340	33.96786665	4.29
	36S	1000160360	35.96708062	0.02
17	Cl	2
	35Cl	1000170350	34.968852721	75.78
	37Cl	1000170370	36.96590262	24.22
18	Ar	3
	36Ar	1000180360	35.96754552	0.3365
	38Ar	1000180380	37.9627325	0.0632
	40Ar	1000180400	39.9623837	99.6003
19	K	3
	39K	1000190390	38.9637074	93.2581
	40K	1000190400	39.9639992	0.0117
	41K	1000190410	40.9618254	6.7302
20	Ca	6
	40Ca	1000200400	39.9625906	96.941
	42Ca	1000200420	41.9586176	0.647
	43Ca	1000200430	42.9587662	0.135
	44Ca	1000200440	43.9554806	2.086
	46Ca	1000200460	45.953689	0.004
	48Ca	1000200480	47.952533	0.187
21	Sc	1
	45Sc	1000210450	44.95591	100
22	Ti	5
	46Ti	1000220460	45.9526294	8.25
	47Ti	1000220470	46.951764	7.44
	48Ti	1000220480	47.9479473	73.72
	49Ti	1000220490	48.9478711	5.41
	50Ti	1000220500	49.9447921	5.18
23	V	2
	50V	1000230500	49.9471609	0.25
	51V	1000230510	50.9439617	99.75
24	Cr	4
	50Cr	1000240500	49.9460464	4.345
	52Cr	1000240520	51.9405098	83.789
	53Cr	1000240530	52.9406513	9.501
	54Cr	1000240540	53.9388825	2.365
25	Mn	1
	55Mn	1000250550	54.9380471	100
26	Fe	4
	54Fe	1000260540	53.9396127	5.845
	56Fe	1000260560	55.9349393	91.754
	57Fe	1000260570	56.9353958	2.119
	58Fe	1000260580	57.9332773	0.282
27	Co	1
	59Co	1000270590	58.9331976	100
28	Ni	5
	58Ni	1000280580	57.9353462	68.0769
	60Ni	1000280600	59.9307884	26.2231
	61Ni	1000280610	60.9310579	1.1399
	62Ni	1000280620	61.9283461	3.6345
	64Ni	1000280640	63.9279679	0.9256
29	Cu	2
	63Cu	1000290630	62.9295989	69.17
	65Cu	1000290650	64.9277929	30.83
30	Zn	5
	64Zn	1000300640	63.9291448	48.63
	66Zn	1000300660	65.9260347	27.9
	67Zn	1000300670	66.9271291	4.1
	68Zn	1000300680	67.9248459	18.75
	70Zn	1000300700	69.925325	0.62
31	Ga	2
	69Ga	1000310690	68.92558	60.108
	71Ga	1000310710	70.9247005	39.892
32	Ge	5
	70Ge	1000320700	69.9242497	20.84
	72Ge	1000320720	71.9220789	27.54
	73Ge	1000320730	72.9234626	7.73
	74Ge	1000320740	73.9211774	36.28
	76Ge	1000320760	75.9214016	7.61
33	As	1
	75As	1000330750	74.9215942	100
34	Se	6
	74Se	1000340740	73.9224746	0.89
	76Se	1000340760	75.919212	9.37
	77Se	1000340770	76.9199125	7.63
	78Se	1000340780	77.9173076	23.77
	80Se	1000340800	79.9165196	49.61
	82Se	1000340820	81.9166978	8.73
35	Br	2
	79Br	1000350790	78.9183361	50.69
	81Br	1000350810	80.916289	49.31
36	Kr	6
	78Kr	1000360780	77.920396	0.35
	80Kr	1000360800	79.91638	2.28
	82Kr	1000360820	81.913482	11.58
	83Kr	1000360830	82.914135	11.49
	84Kr	1000360840	83.911507	57
	86Kr	1000360860	85.910616	17.3
37	Rb	2
	85Rb	1000370850	84.911794	72.17
	87Rb	1000370870	86.909187	27.83
38	Sr	4
	84Sr	1000380840	83.91343	0.56
	86Sr	1000380860	85.9092672	9.86
	87Sr	1000380870	86.9088841	7
	88Sr	1000380880	87.9056188	82.58
39	Y	1
	89Y	1000390890	89.905849	100
40	Zr	5
	90Zr	1000400900	89.9047026	51.45
	91Zr	1000400910	90.9056439	11.22
	92Zr	1000400920	91.9050386	17.15
	94Zr	1000400940	93.9063148	17.38
	96Zr	1000400960	95.908275	2.8
41	Nb	1
	93Nb	1000410930	92.9063772	100
42	Mo	7
	92Mo	1000420920	91.906809	14.84
	94Mo	1000420940	93.9050853	9.25
	95Mo	1000420950	94.9058411	15.92
	96Mo	1000420960	95.9046785	16.68
	97Mo	1000420970	96.9060205	9.55
	98Mo	1000420980	97.9054073	24.13
	100Mo	1000421000	99.907477	9.63
43	Tc	1
	98Tc	1000430980	98		100
44	Ru	7
	96Ru	1000440960	95.907599	5.54
	98Ru	1000440980	97.905287	1.87
	99Ru	1000440990	98.9059389	12.76
	100Ru	1000441000	99.9042192	12.6
	101Ru	1000441010	100.9055819	17.06
	102Ru	1000441020	101.9043485	31.55
	104Ru	1000441040	103.905424	18.62
45	Rh	1
	103Rh	1000451030	102.9055	100
46	Pd	6
	102Pd	1000461020	101.905634	1.02
