## pi+ -> fe-56
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      82            
450      170           
500      184           
550      204           
600      227           
650      252           
700      279           
750      304           
800      324           
850      337           
900      346           
950      353           
1000     361           
