## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    pipro_xs   
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      73.9916       
450      153.397       
500      166.03        
550      184.077       
600      204.831       
650      227.389       
700      251.752       
750      274.31        
800      292.357       
850      304.088       
900      312.209       
950      318.525       
1000     325.744       
