# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 750 MeV

0.000 8.974242E-02
9.000 4.300160E-02
18.000 -4.027836E-02
27.000 -1.545544E-01
36.000 -2.041328E-01
45.000 -2.007269E-01
54.000 -1.862566E-01
63.000 -1.680622E-01
72.000 -1.435395E-01
81.000 -1.084807E-01
90.000 -6.382832E-02
99.000 -1.991932E-02
108.000 1.309907E-02
117.000 3.340151E-02
126.000 4.350662E-02
135.000 4.573113E-02
144.000 4.054648E-02
153.000 2.537768E-02
162.000 -1.377504E-03
171.000 -1.983883E-02
180.000 -2.488092E-02
