# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 50 MeV

0.000 -4.909174E-02
9.000 -3.364859E-02
18.000 -2.129376E-02
27.000 -1.150898E-02
36.000 -4.884305E-03
45.000 -1.609211E-03
54.000 -7.871348E-04
63.000 -1.742307E-03
72.000 -4.236262E-03
81.000 -8.185111E-03
90.000 -1.318901E-02
99.000 -1.798833E-02
108.000 -2.080179E-02
117.000 -2.066505E-02
126.000 -1.805336E-02
135.000 -1.547034E-02
144.000 -1.854365E-02
153.000 -2.669201E-02
162.000 -2.151793E-02
171.000 1.392004E-02
180.000 5.612493E-02
