# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 300 MeV

0.000 2.432655E-02
9.000 4.518773E-03
18.000 -9.662976E-03
27.000 -1.890075E-02
36.000 -2.925914E-02
45.000 -4.712755E-02
54.000 -6.742848E-02
63.000 -8.452038E-02
72.000 -9.753033E-02
81.000 -1.071855E-01
90.000 -1.139875E-01
99.000 -1.175294E-01
108.000 -1.152630E-01
117.000 -9.953174E-02
126.000 -5.963469E-02
135.000 -8.137939E-03
144.000 2.856877E-02
153.000 4.892576E-02
162.000 5.534268E-02
171.000 1.892770E-02
180.000 -3.271896E-03
