# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 850 MeV

0.000 3.638039E-02
9.000 1.562467E-02
18.000 -2.301506E-02
27.000 -9.294630E-02
36.000 -1.766339E-01
45.000 -2.277008E-01
54.000 -2.457804E-01
63.000 -2.489793E-01
72.000 -2.444199E-01
81.000 -2.323171E-01
90.000 -2.095640E-01
99.000 -1.710267E-01
108.000 -1.127697E-01
117.000 -4.009743E-02
126.000 2.935756E-02
135.000 7.965501E-02
144.000 1.062044E-01
153.000 1.060806E-01
162.000 6.368113E-02
171.000 1.061055E-03
180.000 -2.303839E-02
