## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        40            
50       117.333       
100      115.119       
150      105.453       
200      72.319        
250      53.7857       
300      47.3564       
350      42.7135       
400      41.2836       
450      40.837        
500      40.2657       
550      38.7285       
600      35.8929       
650      33.3724       
700      32.268        
750      32.0222       
800      32.0914       
850      31.0146       
900      29.8063       
950      28.4457       
1000     27.8052       
