## pi+ -> cu-63
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        157.5         
50       462           
100      367.368       
150      336.52        
200      230.784       
250      171.641       
300      151.123       
350      136.307       
400      131.744       
450      130.319       
500      128.496       
550      123.59        
600      114.541       
650      106.498       
700      102.973       
750      102.189       
800      102.41        
850      98.9738       
900      95.1178       
950      90.7757       
1000     88.7317       
