#KE	XS	sig
1.0	0.0	0.0
5.0	1.4	0.0
20.0	11.0	0.0
50.0	37.0	0.0
100.0	24.7723	0.528604
150.0	28.7723	0.568673
200.0	23.4005	0.514072
250.0	17.3141	0.443382
300.0	12.1383	0.372087
350.0	8.46107	0.311156
400.0	3.41209	0.19803
450.0	1.93659	0.149286
500.0	1.16426	0.11579
550.0	0.979824	0.106232
600.0	0.691641	0.0892636
650.0	0.645531	0.0862386
700.0	0.622477	0.0846855
750.0	0.610949	0.0838981
800.0	0.634004	0.0854656
850.0	0.576367	0.0814903
900.0	0.553313	0.0798446
950.0	0.553313	0.0798446
1000.0	0.414984	0.0691516
