## pi+ -> d-2
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        5             
50       14.6667       
100      19.7939       
150      18.1318       
200      12.4347       
250      9.24806       
300      8.14258       
350      7.34428       
400      7.09842       
450      7.02162       
500      6.9234        
550      6.65908       
600      6.17153       
650      5.73814       
700      5.54824       
750      5.50598       
800      5.51788       
850      5.33274       
900      5.12498       
950      4.89103       
1000     4.78089       
