## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        2.5           
50       7.33333       
100      11.0068       
150      10.0825       
200      6.91456       
250      5.14255       
300      4.52783       
350      4.08392       
400      3.9472        
450      3.9045        
500      3.84988       
550      3.7029        
600      3.43179       
650      3.1908        
700      3.0852        
750      3.0617        
800      3.06832       
850      2.96537       
900      2.84984       
950      2.71974       
1000     2.6585        
