## pi+ -> sn-120
## File generated by MakeTextFiles.cxx
## KE    abs_xs     
0        300           
50       880           
100      633.917       
150      580.687       
200      398.233       
250      296.178       
300      260.774       
350      235.207       
400      227.333       
450      224.874       
500      221.728       
550      213.263       
600      197.649       
650      183.769       
700      177.687       
750      176.334       
800      176.715       
850      170.786       
900      164.132       
950      156.64        
1000     153.112       
