## pi+ -> ti-48
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0        163.528       
50       463.43        
100      593.82        
150      581.75        
200      450.288       
250      373.278       
300      339.772       
350      318.429       
400      311.421       
450      316.262       
500      328.394       
550      340.225       
600      347.763       
650      357.481       
700      375.318       
750      396.477       
800      415.241       
850      424.422       
900      428.316       
950      429.342       
1000     433.467       
