## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    tot_xs     
0.       1.88672       
50.      94.3358       
100.     132.863       
150.     128.354       
200.     120.02        
250.     108.954       
300.     98.7077       
350.     87.983        
400.     83.2013       
450.     79.1711       
500.     75.8922       
550.     73.2281       
600.     71.1788       
650.     69.6077       
700.     68.5147       
750.     67.8111       
800.     67.4491       
850.     67.3876       
900.     67.5857       
950.     68.0092       
1000.    68.583        
0        11.7527       
50       31.0202       
100      33.8724       
150      33.8896       
200      27.1274       
250      23.0817       
300      21.1642       
350      19.9954       
400      19.6025       
450      20.0121       
500      20.9856       
550      22.0295       
600      22.8733       
650      23.8518       
700      25.3087       
750      26.9344       
800      28.3484       
850      29.1472       
900      29.5585       
950      29.7672       
1000     30.1412       
