# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 450 MeV

0.000 4.110991E-02
9.000 -7.072692E-04
18.000 -1.833496E-02
27.000 -2.226772E-02
36.000 -2.285458E-02
45.000 -1.426677E-02
54.000 2.928993E-03
63.000 1.214464E-02
72.000 8.454371E-03
81.000 -2.776015E-03
90.000 -3.284628E-02
99.000 -2.776015E-03
108.000 8.454371E-03
117.000 1.214464E-02
126.000 2.928993E-03
135.000 -1.426677E-02
144.000 -2.285458E-02
153.000 -2.226772E-02
162.000 -1.833496E-02
171.000 -7.072692E-04
180.000 4.110991E-02
