# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 550 MeV

0.000 -5.931459E-02
9.000 -3.515645E-02
18.000 -8.945605E-03
27.000 -2.756826E-02
36.000 -3.296003E-02
45.000 -3.574747E-02
54.000 -2.519863E-02
63.000 -1.042825E-02
72.000 -1.615173E-02
81.000 -1.726140E-02
90.000 -3.202222E-02
99.000 -1.726140E-02
108.000 -1.615173E-02
117.000 -1.042825E-02
126.000 -2.519863E-02
135.000 -3.574747E-02
144.000 -3.296003E-02
153.000 -2.756826E-02
162.000 -8.945605E-03
171.000 -3.515645E-02
180.000 -5.931459E-02
