# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 1000 MeV

0.000 -3.620831E-02
9.000 -1.848650E-02
18.000 -4.255193E-02
27.000 -4.977490E-02
36.000 -5.748520E-02
45.000 -5.965308E-02
54.000 -5.740671E-02
63.000 -5.328347E-02
72.000 -4.386720E-02
81.000 -2.631243E-02
90.000 -2.902029E-02
99.000 -2.631243E-02
108.000 -4.386720E-02
117.000 -5.328347E-02
126.000 -5.740671E-02
135.000 -5.965308E-02
144.000 -5.748520E-02
153.000 -4.977490E-02
162.000 -4.255193E-02
171.000 -1.848650E-02
180.000 -3.620831E-02
