# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 200 MeV

0.000 -7.330904E-03
9.000 8.963748E-03
18.000 1.951535E-02
27.000 1.799798E-02
36.000 4.959026E-03
45.000 -9.513498E-04
54.000 -1.052650E-02
63.000 -8.988108E-03
72.000 1.223739E-03
81.000 1.731203E-02
90.000 8.671254E-02
99.000 1.731203E-02
108.000 1.223739E-03
117.000 -8.988108E-03
126.000 -1.052650E-02
135.000 -9.513498E-04
144.000 4.959026E-03
153.000 1.799798E-02
162.000 1.951535E-02
171.000 8.963748E-03
180.000 -7.330904E-03
