# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 950 MeV

0.000 -1.091027E-01
9.000 -3.192767E-02
18.000 -9.515341E-03
27.000 2.303462E-03
36.000 -4.159941E-03
45.000 -2.247800E-02
54.000 -3.100966E-02
63.000 -2.590449E-02
72.000 -1.631368E-02
81.000 -1.056718E-02
90.000 2.920740E-03
99.000 -1.056718E-02
108.000 -1.631368E-02
117.000 -2.590449E-02
126.000 -3.100966E-02
135.000 -2.247800E-02
144.000 -4.159941E-03
153.000 2.303462E-03
162.000 -9.515341E-03
171.000 -3.192767E-02
180.000 -1.091027E-01
