# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 700 MeV

0.000 -2.319546E-01
9.000 -5.631208E-02
18.000 7.527298E-03
27.000 4.549743E-02
36.000 5.015215E-02
45.000 6.186326E-03
54.000 -4.206171E-02
63.000 -3.331245E-02
72.000 -2.429885E-02
81.000 -1.426112E-02
90.000 1.799814E-02
99.000 -1.426112E-02
108.000 -2.429885E-02
117.000 -3.331245E-02
126.000 -4.206171E-02
135.000 6.186326E-03
144.000 5.015215E-02
153.000 4.549743E-02
162.000 7.527298E-03
171.000 -5.631208E-02
180.000 -2.319546E-01
