# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 50 MeV

0.000 1.501205E-02
9.000 5.459817E-03
18.000 5.572658E-03
27.000 1.615326E-02
36.000 2.836440E-02
45.000 4.305869E-02
54.000 4.851176E-02
63.000 4.178688E-02
72.000 2.621655E-02
81.000 -7.968845E-03
90.000 -3.056403E-02
99.000 -7.968845E-03
108.000 2.621655E-02
117.000 4.178688E-02
126.000 4.851176E-02
135.000 4.305869E-02
144.000 2.836440E-02
153.000 1.615326E-02
162.000 5.572658E-03
171.000 5.459817E-03
180.000 1.501205E-02
