# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 500 MeV

0.000 3.589913E-02
9.000 -1.459513E-02
18.000 -1.443960E-02
27.000 -5.304391E-02
36.000 -5.599974E-02
45.000 -3.623840E-02
54.000 -8.945857E-03
63.000 -7.322728E-05
72.000 -1.749347E-03
81.000 -1.068443E-02
90.000 -3.100715E-02
99.000 -1.068443E-02
108.000 -1.749347E-03
117.000 -7.322728E-05
126.000 -8.945857E-03
135.000 -3.623840E-02
144.000 -5.599974E-02
153.000 -5.304391E-02
162.000 -1.443960E-02
171.000 -1.459513E-02
180.000 3.589913E-02
