# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 250 MeV

0.000 9.117244E-03
9.000 1.013542E-02
18.000 9.558380E-03
27.000 3.893598E-03
36.000 -1.560844E-03
45.000 -3.801153E-03
54.000 -6.832779E-03
63.000 -1.583212E-03
72.000 6.619065E-03
81.000 1.978279E-02
90.000 7.764078E-02
99.000 1.978279E-02
108.000 6.619065E-03
117.000 -1.583212E-03
126.000 -6.832779E-03
135.000 -3.801153E-03
144.000 -1.560844E-03
153.000 3.893598E-03
162.000 9.558380E-03
171.000 1.013542E-02
180.000 9.117244E-03
