## pi+ -> o-16
## File generated by MakeTextFiles.cxx
## KE    abs_frac   
0        0.587813      
50       0.620357      
100      0.442243      
150      0.410932      
200      0.360401      
250      0.32074       
300      0.309538      
350      0.297147      
400      0.29344       
450      0.285347      
500      0.270111      
550      0.249708      
600      0.225261      
650      0.202796      
700      0.186113      
750      0.174408      
800      0.166613      
850      0.157228      
900      0.149483      
950      0.142096      
1000     0.137439      
