# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 350 MeV

0.000 -1.493964E-02
9.000 -1.867924E-03
18.000 1.261303E-02
27.000 1.603856E-02
36.000 7.771225E-03
45.000 1.187316E-03
54.000 -6.570022E-03
63.000 -1.724673E-02
72.000 -1.729149E-02
81.000 -1.441848E-02
90.000 -1.834995E-02
99.000 -1.441848E-02
108.000 -1.729149E-02
117.000 -1.724673E-02
126.000 -6.570022E-03
135.000 1.187316E-03
144.000 7.771225E-03
153.000 1.603856E-02
162.000 1.261303E-02
171.000 -1.867924E-03
180.000 -1.493964E-02
