# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 150 MeV

0.000 -6.703919E-02
9.000 -3.773970E-02
18.000 -1.914888E-02
27.000 -7.435458E-03
36.000 -5.180226E-03
45.000 -1.679473E-02
54.000 -3.241662E-02
63.000 -2.878971E-02
72.000 -1.669803E-02
81.000 -9.097162E-04
90.000 3.459281E-02
99.000 -9.097162E-04
108.000 -1.669803E-02
117.000 -2.878971E-02
126.000 -3.241662E-02
135.000 -1.679473E-02
144.000 -5.180226E-03
153.000 -7.435458E-03
162.000 -1.914888E-02
171.000 -3.773970E-02
180.000 -6.703919E-02
