# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 800 MeV

0.000 -2.073888E-02
9.000 -9.056161E-03
18.000 4.422773E-03
27.000 8.251210E-03
36.000 1.123418E-02
45.000 1.697799E-02
54.000 1.792133E-02
63.000 1.092769E-02
72.000 3.508168E-03
81.000 -1.646036E-03
90.000 -6.031435E-03
99.000 -1.646036E-03
108.000 3.508168E-03
117.000 1.092769E-02
126.000 1.792133E-02
135.000 1.697799E-02
144.000 1.123418E-02
153.000 8.251210E-03
162.000 4.422773E-03
171.000 -9.056161E-03
180.000 -2.073888E-02
