# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 200 MeV

0.000 -6.191593E-02
9.000 -3.412973E-02
18.000 -1.619325E-02
27.000 -5.390410E-03
36.000 -3.268533E-03
45.000 -1.121196E-02
54.000 -2.801918E-02
63.000 -2.888665E-02
72.000 -1.944941E-02
81.000 -7.733485E-03
90.000 2.360937E-02
99.000 -7.733485E-03
108.000 -1.944941E-02
117.000 -2.888665E-02
126.000 -2.801918E-02
135.000 -1.121196E-02
144.000 -3.268533E-03
153.000 -5.390410E-03
162.000 -1.619325E-02
171.000 -3.412973E-02
180.000 -6.191593E-02
