# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 250 MeV

0.000 -4.690073E-02
9.000 -2.365902E-02
18.000 -7.381377E-03
27.000 2.127892E-03
36.000 -3.697590E-04
45.000 -5.825744E-03
54.000 -2.147549E-02
63.000 -2.696144E-02
72.000 -2.030246E-02
81.000 -1.331080E-02
90.000 8.123130E-03
99.000 -1.331080E-02
108.000 -2.030246E-02
117.000 -2.696144E-02
126.000 -2.147549E-02
135.000 -5.825744E-03
144.000 -3.697590E-04
153.000 2.127892E-03
162.000 -7.381377E-03
171.000 -2.365902E-02
180.000 -4.690073E-02
