## pi+ -> h-1
## File generated by MakeTextFiles.cxx
## KE    cex_xs     
0        1.85054       
50       6.66193       
100      13.2539       
150      15.0985       
200      13.7321       
250      12.5707       
300      11.8875       
350      11.4093       
400      5.60216       
450      0             
500      0             
550      0             
600      0             
650      0             
700      0             
750      0             
800      0             
850      0             
900      0             
950      0             
1000     0             
