## pi+ -> he3-3
## File generated by MakeTextFiles.cxx
## KE    inelas_xs  
0        11.487        
50       26.4201       
100      19.9933       
150      18.1147       
200      13.4805       
250      11.1669       
300      9.87801       
350      9.365         
400      9.25841       
450      9.34652       
500      9.49574       
550      9.13052       
600      8.18123       
650      7.16515       
700      6.57823       
750      6.45602       
800      6.54129       
850      6.56971       
900      6.38639       
950      6.09648       
1000     5.86485       
