# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 550 MeV

0.000 -7.100808E-02
9.000 -5.976505E-02
18.000 -4.988531E-02
27.000 -4.165392E-02
36.000 -3.502621E-02
45.000 -2.892489E-02
54.000 -2.130768E-02
63.000 -1.096128E-02
72.000 1.635550E-03
81.000 1.537907E-02
90.000 2.860142E-02
99.000 3.850861E-02
108.000 4.297334E-02
117.000 4.255753E-02
126.000 3.894874E-02
135.000 3.291001E-02
144.000 2.344325E-02
153.000 6.165181E-03
162.000 -2.531748E-02
171.000 -4.860377E-02
180.000 -5.409479E-02
