# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 200 MeV

0.000 -4.432481E-02
9.000 -3.673821E-02
18.000 -2.989497E-02
27.000 -2.300011E-02
36.000 -1.567990E-02
45.000 -9.528736E-03
54.000 -5.495353E-03
63.000 -2.937988E-03
72.000 -1.225607E-03
81.000 -3.464580E-05
90.000 7.758102E-04
99.000 1.141143E-03
108.000 6.020468E-04
117.000 -1.763376E-03
126.000 -6.325859E-03
135.000 -1.214072E-02
144.000 -1.907991E-02
153.000 -2.909468E-02
162.000 -4.301380E-02
171.000 -2.612555E-02
180.000 -1.125828E-02
