# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 300 MeV

0.000 -1.590680E-01
9.000 -1.112304E-01
18.000 -7.113201E-02
27.000 -4.176399E-02
36.000 -2.470806E-02
45.000 -1.009158E-02
54.000 9.991363E-03
63.000 3.238033E-02
72.000 5.342837E-02
81.000 7.184005E-02
90.000 8.735118E-02
99.000 9.957614E-02
108.000 1.065842E-01
117.000 1.016928E-01
126.000 7.346921E-02
135.000 3.042423E-02
144.000 -4.744025E-04
153.000 -1.189190E-02
162.000 -5.831931E-04
171.000 2.483581E-02
180.000 2.212450E-02
