# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 50 MeV

0.000 7.585895E-02
9.000 4.961247E-02
18.000 2.756632E-02
27.000 9.330762E-03
36.000 -3.489407E-03
45.000 -1.080701E-02
54.000 -1.460913E-02
63.000 -1.623196E-02
72.000 -1.615571E-02
81.000 -1.435270E-02
90.000 -1.059498E-02
99.000 -5.175309E-03
108.000 4.713794E-04
117.000 4.558063E-03
126.000 6.273997E-03
135.000 6.504813E-03
144.000 8.095988E-03
153.000 9.320004E-03
162.000 -4.746289E-03
171.000 -4.091294E-02
180.000 -7.991967E-02
