## pi+ -> ni-58
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.234859      
450      0.479593      
500      0.500194      
550      0.535688      
600      0.583702      
650      0.630914      
700      0.665743      
750      0.686996      
800      0.69932       
850      0.711905      
900      0.724493      
950      0.737598      
1000     0.747274      
