## pi+ -> be-9
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.260355      
450      0.530179      
500      0.55006       
550      0.584956      
600      0.632011      
650      0.677817      
700      0.711088      
750      0.730795      
800      0.741878      
850      0.75275       
900      0.763982      
950      0.775786      
1000     0.784679      
