## pi+ -> c-12
## File generated by MakeTextFiles.cxx
## KE    pipro_frac 
0        0             
50       0             
100      0             
150      0             
200      0             
250      0             
300      0             
350      0             
400      0.256639      
450      0.522824      
500      0.542842      
550      0.577867      
600      0.625111      
650      0.671162      
700      0.704686      
750      0.724633      
800      0.735905      
850      0.747034      
900      0.758468      
950      0.770466      
1000     0.779475      
