# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 850 MeV

0.000 5.321237E-05
9.000 -2.176067E-02
18.000 -5.918507E-02
27.000 -1.162034E-01
36.000 -1.678254E-01
45.000 -1.802499E-01
54.000 -1.651954E-01
63.000 -1.393268E-01
72.000 -1.064038E-01
81.000 -6.489266E-02
90.000 -1.200834E-02
99.000 5.346145E-02
108.000 1.258302E-01
117.000 1.876999E-01
126.000 2.193180E-01
135.000 2.154571E-01
144.000 1.805244E-01
153.000 1.108611E-01
162.000 -1.213864E-03
171.000 -7.887129E-02
180.000 -7.698183E-02
