# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 450 MeV

0.000 3.097808E-02
9.000 2.341760E-02
18.000 1.693413E-02
27.000 1.150346E-02
36.000 7.980313E-03
45.000 8.682676E-03
54.000 1.256576E-02
63.000 1.712286E-02
72.000 2.207868E-02
81.000 2.813629E-02
90.000 3.626201E-02
99.000 4.758789E-02
108.000 6.278389E-02
117.000 7.805898E-02
126.000 8.023192E-02
135.000 6.624713E-02
144.000 4.856885E-02
153.000 3.046619E-02
162.000 5.058230E-04
171.000 -2.992471E-02
180.000 -3.017336E-02
