# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 100 MeV

0.000 8.610976E-02
9.000 4.861696E-02
18.000 1.775035E-02
27.000 -3.793824E-03
36.000 -1.228274E-02
45.000 -1.553811E-02
54.000 -2.157335E-02
63.000 -2.609071E-02
72.000 -2.650118E-02
81.000 -2.218617E-02
90.000 -1.328003E-02
99.000 -1.321605E-03
108.000 9.535525E-03
117.000 1.456096E-02
126.000 1.400707E-02
135.000 1.631731E-02
144.000 2.796768E-02
153.000 4.139464E-02
162.000 3.440084E-02
171.000 -8.874714E-03
180.000 -5.561695E-02
