# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 800 MeV

0.000 8.970325E-02
9.000 6.196044E-02
18.000 -1.424101E-03
27.000 -1.170416E-01
36.000 -2.191184E-01
45.000 -2.546891E-01
54.000 -2.545531E-01
63.000 -2.346044E-01
72.000 -1.921715E-01
81.000 -1.197602E-01
90.000 -2.456649E-02
99.000 6.219406E-02
108.000 1.184417E-01
117.000 1.460052E-01
126.000 1.531082E-01
135.000 1.446121E-01
144.000 1.199814E-01
153.000 7.093794E-02
162.000 -4.464175E-03
171.000 -5.097191E-02
180.000 -5.547876E-02
