# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 150 MeV

0.000 1.124174E-01
9.000 8.267792E-02
18.000 5.639542E-02
27.000 3.267745E-02
36.000 1.365421E-02
45.000 3.234316E-03
54.000 -1.025683E-03
63.000 -2.962888E-03
72.000 -3.637268E-03
81.000 -3.187876E-03
90.000 -1.846886E-03
99.000 9.005224E-06
108.000 2.451750E-03
117.000 6.998104E-03
126.000 1.397653E-02
135.000 2.114718E-02
144.000 2.758715E-02
153.000 3.340135E-02
162.000 3.237487E-02
171.000 9.208562E-03
180.000 -4.981637E-03
