# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 250 MeV

0.000 6.274479E-02
9.000 5.215957E-02
18.000 4.406608E-02
27.000 3.863912E-02
36.000 3.476622E-02
45.000 3.048726E-02
54.000 2.590675E-02
63.000 2.203042E-02
72.000 1.928745E-02
81.000 1.780754E-02
90.000 1.776467E-02
99.000 1.951504E-02
108.000 2.348731E-02
117.000 2.920102E-02
126.000 3.348658E-02
135.000 3.364617E-02
144.000 3.168438E-02
153.000 2.993082E-02
162.000 2.667582E-02
171.000 8.012348E-03
180.000 -1.740014E-05
