# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 300 MeV

0.000 6.801242E-02
9.000 5.367851E-02
18.000 4.069754E-02
27.000 3.083312E-02
36.000 2.800498E-02
45.000 3.086888E-02
54.000 3.310430E-02
63.000 3.342512E-02
72.000 3.332644E-02
81.000 3.416471E-02
90.000 3.694917E-02
99.000 4.269105E-02
108.000 5.242937E-02
117.000 6.546674E-02
126.000 7.355602E-02
135.000 6.665931E-02
144.000 5.213127E-02
153.000 3.745730E-02
162.000 1.860664E-02
171.000 -6.976248E-03
180.000 -9.419185E-03
