# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 750 MeV

0.000 1.440325E-01
9.000 9.432153E-02
18.000 5.100463E-03
27.000 -1.270654E-01
36.000 -1.977232E-01
45.000 -2.033930E-01
54.000 -1.897403E-01
63.000 -1.674500E-01
72.000 -1.350387E-01
81.000 -8.942927E-02
90.000 -3.443419E-02
99.000 1.616946E-02
108.000 5.144737E-02
117.000 7.090748E-02
126.000 7.829026E-02
135.000 7.634764E-02
144.000 6.515290E-02
153.000 4.046811E-02
162.000 -3.469644E-04
171.000 -2.810249E-02
180.000 -3.554403E-02
