# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 600 MeV

0.000 -6.926572E-02
9.000 -5.869737E-02
18.000 -4.914260E-02
27.000 -3.982759E-02
36.000 -3.014095E-02
45.000 -2.081862E-02
54.000 -1.360393E-02
63.000 -9.098259E-03
72.000 -6.690055E-03
81.000 -5.597782E-03
90.000 -5.223804E-03
99.000 -5.161824E-03
108.000 -5.210041E-03
117.000 -5.270483E-03
126.000 -5.214974E-03
135.000 -4.820191E-03
144.000 -3.619219E-03
153.000 -4.041146E-04
162.000 6.724626E-03
171.000 1.393412E-02
180.000 1.804904E-02
