# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 900 MeV

0.000 -1.052972E-01
9.000 -9.965121E-02
18.000 -1.039856E-01
27.000 -1.152816E-01
36.000 -1.172100E-01
45.000 -9.703755E-02
54.000 -7.052739E-02
63.000 -4.942511E-02
72.000 -3.441340E-02
81.000 -2.405434E-02
90.000 -1.730677E-02
99.000 -1.361427E-02
108.000 -1.256975E-02
117.000 -1.337688E-02
126.000 -1.436312E-02
135.000 -1.324228E-02
144.000 -7.569066E-03
153.000 6.860630E-03
162.000 3.558570E-02
171.000 4.304790E-02
180.000 2.965428E-02
