# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 1000 MeV

0.000 -5.882414E-01
9.000 -4.205254E-01
18.000 -2.876968E-01
27.000 -1.830131E-01
36.000 -9.893600E-02
45.000 -3.754657E-02
54.000 -2.560495E-03
63.000 1.199148E-02
72.000 1.120406E-02
81.000 -3.596584E-03
90.000 -3.345059E-02
99.000 -7.869501E-02
108.000 -1.344422E-01
117.000 -1.893345E-01
126.000 -2.304166E-01
135.000 -2.469500E-01
144.000 -2.259765E-01
153.000 -1.360810E-01
162.000 6.457941E-02
171.000 2.170588E-01
180.000 2.612169E-01
