# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 600 MeV

0.000 -8.624834E-02
9.000 -7.039689E-02
18.000 -1.642554E-02
27.000 -2.508495E-02
36.000 1.635207E-02
45.000 6.520488E-02
54.000 6.189173E-02
63.000 2.389861E-02
72.000 2.286988E-02
81.000 4.504301E-03
90.000 -3.499313E-02
99.000 4.504301E-03
108.000 2.286988E-02
117.000 2.389861E-02
126.000 6.189173E-02
135.000 6.520488E-02
144.000 1.635207E-02
153.000 -2.508495E-02
162.000 -1.642554E-02
171.000 -7.039689E-02
180.000 -8.624834E-02
