# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 650 MeV

0.000 -6.715231E-02
9.000 -6.340780E-02
18.000 -1.600215E-02
27.000 -2.607525E-02
36.000 9.005451E-03
45.000 5.711665E-02
54.000 6.188340E-02
63.000 2.560075E-02
72.000 2.026659E-02
81.000 5.138649E-03
90.000 -2.985622E-02
99.000 5.138649E-03
108.000 2.026659E-02
117.000 2.560075E-02
126.000 6.188340E-02
135.000 5.711665E-02
144.000 9.005451E-03
153.000 -2.607525E-02
162.000 -1.600215E-02
171.000 -6.340780E-02
180.000 -6.715231E-02
