# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 850 MeV

0.000 -2.571023E-02
9.000 -6.388609E-03
18.000 -1.252879E-03
27.000 5.450195E-04
36.000 -2.150078E-03
45.000 -5.001880E-03
54.000 -5.841668E-03
63.000 -8.808113E-03
72.000 -5.216674E-03
81.000 4.678802E-03
90.000 2.322530E-02
99.000 4.678802E-03
108.000 -5.216674E-03
117.000 -8.808113E-03
126.000 -5.841668E-03
135.000 -5.001880E-03
144.000 -2.150078E-03
153.000 5.450195E-04
162.000 -1.252879E-03
171.000 -6.388609E-03
180.000 -2.571023E-02
