# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 750 MeV

0.000 -3.785620E-02
9.000 -3.382065E-02
18.000 -1.135327E-02
27.000 -1.085367E-02
36.000 -6.173301E-03
45.000 5.253425E-03
54.000 1.325337E-02
63.000 1.059321E-02
72.000 6.362529E-03
81.000 2.695428E-03
90.000 -2.595462E-03
99.000 2.695428E-03
108.000 6.362529E-03
117.000 1.059321E-02
126.000 1.325337E-02
135.000 5.253425E-03
144.000 -6.173301E-03
153.000 -1.085367E-02
162.000 -1.135327E-02
171.000 -3.382065E-02
180.000 -3.785620E-02
