# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 150 MeV

0.000 2.394224E-01
9.000 1.453933E-01
18.000 7.404870E-02
27.000 1.459400E-02
36.000 -7.929686E-03
45.000 -2.396564E-02
54.000 -1.779035E-02
63.000 3.004252E-03
72.000 1.061011E-02
81.000 4.858930E-03
90.000 -1.843839E-02
99.000 4.858930E-03
108.000 1.061011E-02
117.000 3.004252E-03
126.000 -1.779035E-02
135.000 -2.396564E-02
144.000 -7.929686E-03
153.000 1.459400E-02
162.000 7.404870E-02
171.000 1.453933E-01
180.000 2.394224E-01
