# Proton-Proton Scattering
# Angle vs. Cross-section Fractional Variation
# 400 MeV

0.000 1.390302E-02
9.000 1.514897E-02
18.000 1.732859E-02
27.000 6.558699E-03
36.000 -2.759675E-04
45.000 -4.527627E-03
54.000 -1.185890E-02
63.000 -1.578941E-02
72.000 -1.037482E-02
81.000 -3.365183E-03
90.000 1.001917E-02
99.000 -3.365183E-03
108.000 -1.037482E-02
117.000 -1.578941E-02
126.000 -1.185890E-02
135.000 -4.527627E-03
144.000 -2.759675E-04
153.000 6.558699E-03
162.000 1.732859E-02
171.000 1.514897E-02
180.000 1.390302E-02
