# KE is lab energy in MeV, cross sections in lab in units of mb
# data from Mashnik pFe MonteCarlo results, no A dependence 
# KE   tot    inel     cex     abs     pipro   cmp
   0  0.0000  0.0000  0.0000  0.0000  0.0000  0.0000
  50  1.0000  0.2093  0.4486  0.3421  0.0000  0.0000
 100  1.0000  0.1816  0.3839  0.4345  0.0000  0.0000 
 150  1.0000  0.1803  0.3746  0.4451  0.0000  0.0000 
 200  1.0000  0.1780  0.3654  0.4566  0.0000  0.0000
 250  1.0000  0.1744  0.3548  0.4709  0.0000  0.0000
 300  1.0000  0.1704  0.3437  0.4859  0.0000  0.0000
 350  1.0000  0.1684  0.3383  0.4910  0.0022  0.0000
 400  1.0000  0.1615  0.3230  0.4812  0.0343  0.0000
 450  1.0000  0.1572  0.3133  0.4729  0.0566  0.0000
 500  1.0000  0.1533  0.3048  0.4571  0.0848  0.0000
 550  1.0000  0.1493  0.2967  0.4386  0.1154  0.0000
 600  1.0000  0.1458  0.2891  0.4171  0.1480  0.0000
 650  1.0000  0.1423  0.2821  0.3950  0.1806  0.0000
 700  1.0000  0.1390  0.2754  0.3736  0.2120  0.0000
 750  1.0000  0.1359  0.2692  0.3543  0.2406  0.0000
 800  1.0000  0.1328  0.2628  0.3353  0.2690  0.0000
 850  1.0000  0.1299  0.2569  0.3170  0.2963  0.0000
 900  1.0000  0.1267  0.2510  0.2990  0.3232  0.0000
 950  1.0000  0.1239  0.2453  0.2806  0.3502  0.0000
1000  1.0000  0.1211  0.2397  0.2633  0.3759  0.0000
