# Provided by T. Golan
# 
# Data used in GENIE for piN total cross sections where N is either p or n
# use Nuwro's implementation of Oset et al. model [Nucl. Phys. A484 (1998) 557-592] for pi+N elas, cex, and pi absorption
# finite range effects are not included (the results can be applied to any nucleus)
# pi-p = pi+n and pi-n = pi+p
# pi0-N is taken to be the average of pi+ and pi-
# KE is LAB energy in MeV, cross sections in mb, d = density in fm-3
# qel = (elastic + cex)
# 
#        d        KE       pi+n qel      pi+n fcex       pi+p qel      pi+p fcex        pi0 qel       pi0 fcex        pi abs
         0         0              0              0              0              0              0              0              0
         0        10        5.30348        4.17411        3.03015              0        4.16681        4.17348     0.00650105
         0        20        5.42315        4.21567        3.37674              0        4.39994        4.21441     0.00808914
         0        30        5.61786        4.30665        3.95702              0        4.78744        4.30479     0.00937511
         0        40         5.9226        4.47054        4.87493              0        5.39877         4.4682      0.0105296
         0        50          6.387        4.74059        6.27841              0         6.3327        4.73796      0.0116611
         0        60        7.08202        5.16426        8.37952              0        7.73077        5.16159      0.0128502
         0        70        8.10978        5.80977        11.4837              0        9.79676        5.80731      0.0141663
         0        80        9.61714        6.77514        16.0309              0         12.824        6.77308      0.0156775
         0        90        11.8133        8.19999        22.6481              0        17.2307        8.19846      0.0174456
         0       100         14.988        10.2775        32.2036              0        23.5958        10.2765      0.0195236
         0       110        19.5164        13.2578         45.822              0        32.6692        13.2573      0.0219301
         0       120        25.8133        17.4177        64.7479              0        45.2806         17.417      0.0245971
         0       130        34.1629        22.9466        89.8329              0        61.9979        22.9449      0.0272798
         0       140        44.3409        29.6951        120.404              0        82.3723        29.6906      0.0294617
         0       150        55.1346        36.8548        152.822              0        103.978        36.8457      0.0303857
         0       160         64.326        42.9472        180.433              0        122.379         42.932      0.0293998
         0       170        69.7482        46.5278        196.735              0        133.242        46.5063      0.0264901
         0       180         70.704        47.1321        199.637              0        135.171        47.1052      0.0223997
         0       190        68.1547        45.4007        192.023              0        130.089        45.3703      0.0181061
         0       200        63.6913        42.3943        178.665              0        121.178        42.3623      0.0142789
         0       210        58.6139        38.9797        163.462              0        111.038        38.9477      0.0111676
         0       220        53.6771        35.6597         148.68              0        101.178        35.6293     0.00875652
         0       230        49.2127        32.6558        135.312              0        92.2621        32.6279     0.00692707
         0       240        45.3124        30.0289        123.633              0        84.4727        30.0043     0.00554641
         0       250        41.9552        27.7653        113.581              0        77.7682        27.7443     0.00450095
         0       260        39.0781        25.8228        104.966              0        72.0221        25.8055     0.00370301
         0       270        36.6086        24.1532        97.5712              0        67.0899        24.1396     0.00308778
         0       280        34.4794        22.7118        91.1938              0        62.8366        22.7014      0.0026082
         0       290        32.6325        21.4599        85.6599              0        59.1462        21.4523     0.00223027
         0       300        31.0202        20.3657        80.8261              0        55.9232        20.3604     0.00192932
         0       310        29.6036        19.4034         76.576              0        53.0898        19.3998     0.00168731
         0       320        28.3516         18.552        72.8156              0        50.5836        18.5498     0.00149095
         0       330        27.2387        17.7949        69.4692              0         48.354        17.7936     0.00133032
         0       340        26.2446        17.1183        66.4753              0          46.36        17.1176     0.00119797
         0       350        25.3525        16.5111        63.7832              0        44.5678        16.5108      0.0010882
      0.01         0              0              0              0              0              0              0              0
      0.01        10        5.29064        3.94598        2.99163              0        4.14114        4.00354        1.02117
      0.01        20        5.38138        3.86861        3.25143              0        4.31641        3.92808       0.946383
      0.01        30        5.53713        3.84831        3.71484              0        4.62599        3.90441       0.983691
      0.01        40        5.78953        3.89574         4.4757              0        5.13261        3.95122        1.06581
      0.01        50        6.19201        4.04142        5.69345              0        5.94273        4.11194        1.18087
      0.01        60        6.81973         4.3306        7.59265              0        7.20619        4.44069        1.32895
      0.01        70        7.77988        4.82871         10.494              0        9.13695        5.00794        1.51502
      0.01        80        9.22776        5.62181        14.8628              0        12.0453        5.90904        1.76695
      0.01        90        11.3843        6.85291        21.3611              0        16.3727        7.28818        2.08542
      0.01       100        14.5451        8.70986        30.8748              0          22.71        9.33563        2.48011
      0.01       110        19.0529        11.4147        44.4317              0        31.7423        12.2725        2.96023
      0.01       120        25.1782        15.1549        62.8427              0        44.0105        16.2735        3.52105
      0.01       130        32.8602        19.9225        85.9248              0        59.3925        21.2991        4.12533
