# Provided & maintained by Gray Putnam
#
# Cross section fractions computed by INCL for p-Ar interactions.
# KE is lab energy in MeV, cross sections in lab, units= mb
# KE     pA tot     pA elas     pA inel      pA cex      pA abs      pA pipro   pA xsec
#
#  fate=               2            3           1          4            5
0	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
50	1.0000	0.0000	0.3441	0.2931	0.3628	0.0000	792.0560
100	1.0000	0.0000	0.2838	0.2302	0.4859	0.0000	623.0340
150	1.0000	0.0000	0.2706	0.2097	0.5196	0.0000	569.3210
200	1.0000	0.0000	0.2736	0.2000	0.5262	0.0002	541.1050
250	1.0000	0.0000	0.2863	0.1912	0.5191	0.0034	517.9060
300	1.0000	0.0000	0.2957	0.1785	0.5144	0.0115	514.8660
350	1.0000	0.0000	0.2987	0.1650	0.5045	0.0318	517.4510
400	1.0000	0.0000	0.2926	0.1478	0.5005	0.0591	526.3530
450	1.0000	0.0000	0.2817	0.1297	0.4947	0.0939	543.3740
500	1.0000	0.0000	0.2660	0.1162	0.4877	0.1302	548.9100
550	1.0000	0.0000	0.2533	0.0997	0.4759	0.1712	564.0840
600	1.0000	0.0000	0.2483	0.0860	0.4600	0.2057	587.4950
650	1.0000	0.0000	0.2354	0.0736	0.4527	0.2382	593.1100
700	1.0000	0.0000	0.2248	0.0704	0.4329	0.2720	608.9550
750	1.0000	0.0000	0.2219	0.0586	0.4190	0.3005	612.4780
800	1.0000	0.0000	0.2154	0.0554	0.4049	0.3244	611.2830
850	1.0000	0.0000	0.2091	0.0526	0.3854	0.3529	624.1370
900	1.0000	0.0000	0.2100	0.0485	0.3675	0.3740	622.2430
950	1.0000	0.0000	0.2052	0.0444	0.3596	0.3908	623.5250
1000	1.0000	0.0000	0.2003	0.0423	0.3377	0.4197	630.3000
