#
# The total cross section data for all channels
# was taken from the CNS DAC Services (http://gwdac.phys.gwu.edu/)
# on 7/9/2014.  
# kpN_tot = (kpn_Elas + kpp_Elas + kpn_CEx + KDB) / 2
# ==> KDB = 2kpN_tot - everything else 
# KE    kpp_Elas        kpn_Elas         kpn_CEx           KDB           kpN_tot
   0	0.000E+00	0.000E+00	0.000E+00	6.263E+00	3.1315E+00
  30 	1.135E+01	4.243E+00	2.607E+00	0.000E-00	9.0995E+00
  60	1.173E+01	4.932E+00	2.700E+00	0.000E-00	9.6805E+00
  90	1.196E+01	5.506E+00	3.235E+00	0.000E+00	1.0351E+01 
 120	1.213E+01	6.003E+00	3.987E+00	1.000E-00	1.1061E+01
 150	1.225E+01	6.446E+00	4.807E+00	0.000E-00	1.1750E+01
 180	1.233E+01	6.850E+00	5.592E+00	0.000E-00	1.2385E+01
 210	1.236E+01	7.223E+00	6.276E+00	1.000E-03	1.2930E+01
 240	1.237E+01	7.561E+00	6.818E+00	2.100E-02	1.3385E+01
 270	1.235E+01	7.859E+00	7.204E+00	5.700E-02	1.3735E+01
 300	1.231E+01	8.107E+00	7.441E+00	1.220E-01	1.3990E+01
 330	1.225E+01	8.300E+00	7.551E+00	2.390E-01	1.4170E+01
 360	1.218E+01	8.437E+00	7.561E+00	4.220E-01	1.4300E+01
 390	1.209E+01	8.524E+00	7.497E+00	6.890E-01	1.4400E+01
 420	1.201E+01	8.571E+00	7.382E+00	1.087E+00	1.4525E+01
 450	1.192E+01	8.590E+00	7.235E+00	1.655E+00	1.4700E+01
 480	1.185E+01	8.598E+00	7.074E+00	2.408E+00	1.4965E+01
 510	1.180E+01	8.609E+00	6.913E+00	3.368E+00	1.5345E+01
 540	1.178E+01	8.633E+00	6.765E+00	4.522E+00	1.5850E+01
 570	1.179E+01	8.674E+00	6.638E+00	5.838E+00	1.6470E+01
 600	1.180E+01	8.732E+00	6.531E+00	7.267E+00	1.7165E+01
 630	1.179E+01	8.803E+00	6.433E+00	8.764E+00	1.7895E+01
 660	1.174E+01	8.873E+00	6.319E+00	1.028E+01	1.8605E+01
 690	1.163E+01	8.897E+00	6.133E+00	1.176E+01	1.9210E+01
 720	1.148E+01	8.801E+00	5.824E+00	1.306E+01	1.9580E+01
 750	1.130E+01	8.572E+00	5.439E+00	1.407E+01	1.9690E+01
 780	1.109E+01	8.263E+00	5.054E+00	1.485E+01	1.9630E+01
 810	1.088E+01	7.922E+00	4.708E+00	1.543E+01	1.9470E+01
 840	1.067E+01	7.583E+00	4.411E+00	1.589E+01	1.9275E+01
 870	1.046E+01	7.264E+00	4.161E+00	1.628E+01	1.9080E+01
 900	1.027E+01	6.974E+00	3.949E+00	1.662E+01	1.8905E+01
 930	1.008E+01	6.717E+00	3.768E+00	1.694E+01	1.8750E+01
 960	9.903E+00    	6.493E+00	3.610E+00	1.724E+01	1.8625E+01
 990	9.728E+00	6.301E+00	3.469E+00	1.756E+01	1.8530E+01
1020	9.557E+00	6.140E+00	3.340E+00	1.790E+01	1.8470E+01
1050	9.389E+00	6.010E+00	3.220E+00	1.825E+01	1.8435E+01
1080	9.222E+00	5.909E+00	3.109E+00	1.861E+01	1.8425E+01
1110	9.056E+00	5.838E+00	3.003E+00	1.897E+01	1.8435E+01
1140	8.890E+00	5.796E+00	2.902E+00	1.935E+01	1.8470E+01
1170	8.724E+00	5.783E+00	2.807E+00	1.973E+01	1.8520E+01
1200	8.558E+00	5.800E+00	2.716E+00	2.010E+01	1.8585E+01
1230	8.393E+00	5.846E+00	2.630E+00	2.046E+01	1.8665E+01
1260	8.230E+00	5.922E+00	2.549E+00	2.080E+01	1.8750E+01
1290	8.068E+00	6.028E+00	2.474E+00	2.113E+01	1.8850E+01
1320	7.909E+00	6.164E+00	2.406E+00	2.143E+01	1.8955E+01
1350	7.753E+00	6.330E+00	2.345E+00	2.172E+01	1.9075E+01
1380	7.602E+00	6.525E+00	2.292E+00	2.199E+01	1.9205E+01
1410	7.455E+00	6.746E+00	2.249E+00	2.223E+01	1.9340E+01
1440	7.313E+00	6.992E+00	2.216E+00	2.245E+01	1.9485E+01
1470	7.177E+00	7.259E+00	2.194E+00	2.264E+01	1.9635E+01
1500	7.046E+00	7.542E+00	2.184E+00	2.281E+01	1.9790E+01
1530	6.921E+00	7.836E+00	2.188E+00	2.296E+01	1.9950E+01
1560	6.802E+00	8.136E+00	2.206E+00	2.310E+01	2.0120E+01
1590	6.689E+00	8.435E+00	2.238E+00	2.321E+01	2.0285E+01
1620	6.580E+00	8.729E+00	2.282E+00	2.330E+01	2.0445E+01
1650	6.477E+00	9.012E+00	2.340E+00	2.338E+01	2.0605E+01
1680	6.378E+00	9.282E+00	2.409E+00	2.345E+01	2.0760E+01
1710	6.284E+00	9.537E+00	2.488E+00	2.351E+01	2.0910E+01
1740	6.194E+00	9.776E+00	2.576E+00	2.354E+01	2.1045E+01
1770	6.108E+00	9.999E+00	2.669E+00	2.358E+01	2.1180E+01
1800	6.025E+00	1.021E+01	2.768E+00	2.360E+01	2.1300E+01

