# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 250 MeV

0.000 1.048429E-01
9.000 7.194731E-02
18.000 4.529859E-02
27.000 2.325033E-02
36.000 2.884002E-03
45.000 -1.667083E-02
54.000 -3.369766E-02
63.000 -4.785052E-02
72.000 -5.989616E-02
81.000 -7.048743E-02
90.000 -7.972228E-02
99.000 -8.665537E-02
108.000 -8.799515E-02
117.000 -7.628898E-02
126.000 -4.584225E-02
135.000 -8.920459E-03
144.000 1.852968E-02
153.000 3.411241E-02
162.000 3.519401E-02
171.000 4.684068E-03
180.000 -6.258822E-03
