# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 50 MeV

0.000 1.978645E-02
9.000 2.269401E-02
18.000 2.510030E-02
27.000 2.592847E-02
36.000 2.466795E-02
45.000 2.296473E-02
54.000 2.190575E-02
63.000 2.149850E-02
72.000 2.152463E-02
81.000 2.163088E-02
90.000 2.116427E-02
99.000 1.936020E-02
108.000 1.609120E-02
117.000 1.212115E-02
126.000 8.424758E-03
135.000 6.057412E-03
144.000 6.575790E-03
153.000 9.935514E-03
162.000 1.314628E-02
171.000 1.131553E-02
180.000 8.141905E-03
