# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 900 MeV

0.000 -1.907519E-01
9.000 -1.683285E-01
18.000 -1.594634E-01
27.000 -1.535420E-01
36.000 -1.248767E-01
45.000 -6.845934E-02
54.000 -1.471043E-02
63.000 2.422404E-02
72.000 5.080986E-02
81.000 6.773898E-02
90.000 7.550218E-02
99.000 7.255961E-02
108.000 5.602317E-02
117.000 2.406337E-02
126.000 -1.973757E-02
135.000 -6.616835E-02
144.000 -1.081015E-01
153.000 -1.443147E-01
162.000 -1.490392E-01
171.000 -5.793415E-02
180.000 -3.675298E-03
