# Proton-Neutron Scattering
# Angle vs. Cross-section Fractional Variation
# 950 MeV

0.000 -3.830556E-01
9.000 -3.201773E-01
18.000 -2.740874E-01
27.000 -2.404097E-01
36.000 -1.972146E-01
45.000 -1.302100E-01
54.000 -6.350320E-02
63.000 -9.352521E-03
72.000 3.553730E-02
81.000 7.505859E-02
90.000 1.102331E-01
99.000 1.385092E-01
108.000 1.541081E-01
117.000 1.513489E-01
126.000 1.294074E-01
135.000 9.202277E-02
144.000 4.163670E-02
153.000 -2.587892E-02
162.000 -9.960195E-02
171.000 -9.976873E-02
180.000 -6.777966E-02
